Papel,Tipo,Ano,Quantidade,Compra,Venda,Lucro
BIDI4,ações,2019,70,R$11.57,R$13.70,R$149.10
AGRO3,ações,2019,14,R$16.00,R$16.28,R$3.92
CELP3,ações,2019,300,R$2.85,R$2.78,-R$21.00
TRPL4,ações,2020,200,R$22.05,R$23.46,R$282.00
TAEE4,ações,2020,200,R$8.96,R$9.65,R$138.00
AZUL4,ações,2020,200,R$15.05,R$29.20,"R$2,830.00"
XPML11,FII,2020,85,R$102.44,R$109.33,R$585.65
PCAR3,ações,2021,100,R$22.99,R$35.50,"R$1,251.00"
MEAL3,ações,2021,300,R$3.32,R$4.11,R$237.00
RADL3,ações,2021,100,R$23.20,R$25.56,R$236.00
PETR4,ações,2021,100,R$22.17,R$23.89,R$172.00
MEAL3,ações,2021,600,R$3.32,R$3.60,R$168.00
COGN3,ações,2021,1800,R$5.84,R$3.84,"-R$3,600.00"
MALL11,FII,2021,80,R$98.38,R$97.30,-R$86.40
VINO11,FII,2021,25,R$59.84,R$58.96,-R$22.00
EQTL3,ações,2022,100,R$21.26,R$24.79,R$353.00
BBAS3,ações,2022,100,R$29.15,R$32.68,R$353.00
PRIO3,ações,2022,300,R$18.91,R$24.22,"R$1,593.00"
BBSE3,ações,2022,300,R$25.48,R$29.30,"R$1,146.00"
BBSE3,ações,2022,50,R$25.48,R$29.27,R$189.50
WEGE3,ações,2022,200,R$36.46,R$41.63,"R$1,034.00"
PSSA3,ações,2023,200,R$24.39,R$26.30,R$382.00
PSSA3,ações,2023,50,R$24.39,R$26.27,R$94.00
ITSA4,ações,2023,2420,R$8.61,R$8.64,R$72.60
ENAT3,ações,2023,700,R$10.65,R$17.47,"R$4,774.00"
PFRM3,ações,2017,100,R$10.58,R$8.70,-R$188.00
PFRM3,ações,2017,100,R$9.81,R$8.70,-R$111.00
VALE3,ações,2017,100,R$34.28,R$32.83,-R$145.00
RAIL3,ações,2017,100,R$11.06,R$12.75,R$169.00
MGLU3,ações,2017,30,R$68.14,R$62.66,-R$164.40
SAPR4,ações,2017,200,R$14.50,R$10.17,-R$866.00
GOLL4,ações,2017,100,R$14.87,R$13.92,-R$95.00
CRFB3,ações,2017,200,R$16.15,R$15.87,-R$56.00
NATU3,ações,2017,100,R$32.40,R$29.66,-R$274.00
MOVI3,ações,2017,400,R$8.20,R$7.89,-R$124.00
PETR4,ações,2017,300,R$13.86,R$16.29,R$729.00
RAIL3,ações,2017,200,R$12.30,R$11.57,-R$146.00
CIEL3,ações,2017,200,R$23.15,R$25.55,R$480.00
ECOR3,ações,2017,200,R$11.80,R$11.90,R$20.00
USIM5,ações,2017,200,R$8.90,R$10.90,R$400.00
