2016,,,,,,,,,,,,,,,
month,beer,food,bus/taxi,phone,market,others,house,total,clothes,rent/bill,trips,eletronics,others,english,total
January,€38,€71,€6,€0,€53,€13,€0,€181,€87,€170,€0,€0,€0,€0,€438
February,€43,€80,€0,€20,€46,€0,€10,€199,€47,€270,€202,€0,€0,€0,€718
March,€82,€71,€0,€0,€54,€53,€0,€260,€0,€295,€349,€470,€0,€0,"€1,374"
April,€43,€40,€16,€0,€121,€0,€36,€256,€96,€390,€70,€65,€0,€0,€877
May,€20,€91,€9,€0,€96,€13,€3,€232,€140,€400,€320,€0,€0,€0,"€1,092"
June,€41,€61,€9,€0,€89,€15,€12,€227,€37,€400,€0,€299,€0,€0,€963
July,€39,€39,€12,€0,€99,€15,€2,€206,€0,€400,€0,€20,€0,€380,"€1,006"
August,€26,€78,€0,€0,€62,€42,€14,€222,€65,€400,€8,€75,€25,€0,€795
September,€50,€26,€18,€0,€51,€19,€5,€169,€35,€400,"€1,623",€83,€168,€0,"€2,478"
October,€40,€57,€0,€0,€57,€17,€14,€185,€113,€450,€54,€25,€49,€0,€876
November,€0,€28,€12,€0,€79,€15,€15,€149,€120,€400,€676,€30,€70,€0,"€1,445"
December,€6,€45,€9,€0,€99,€15,€0,€174,€0,€455,€0,€0,€0,€390,"€1,019"
,,,,,,,,,,,,,,,
Total:,€428,€687,€91,€20,€906,€217,€111,"€2,460",€740,"€4,430","€3,302","€1,067",€312,€770,"€13,081"
Average:,€36,€57,€8,€2,€76,€18,€9,€205,€62,€369,€275,€89,€26,€64,"€1,090"
