2017,,,,,,,,,,,,,,,,
month,beer,food,bus/taxi,phone,market,others,house,total,clothes,rent/bill,trips,eletronics,others,medical,gym,total
January,€30,€66,€3,€0,€102,€31,€0,€232,€0,€400,€0,€20,€20,€45,€0,€717
February,€34,€56,€21,€0,€56,€5,€18,€190,€90,€460,€710,€48,€12,€0,€0,"€1,510"
March,€35,€76,€9,€20,€83,€0,€17,€240,€95,€400,€0,€720,€0,€0,€0,"€1,455"
April,€43,€88,€35,€20,€80,€33,€3,€302,€90,€440,€485,€40,€0,€0,€0,"€1,357"
May,€81,€33,€19,€20,€109,€5,€13,€280,€0,€400,€0,€0,€165,€0,€0,€845
June,€63,€113,€16,€20,€74,€15,€4,€305,€90,€445,€0,€100,€46,€0,€0,€986
July,€0,€37,€0,€20,€54,€17,€0,€128,€0,€400,€625,€0,€0,€0,€0,"€1,153"
August,€14,€46,€0,€20,€78,€16,€8,€182,€0,€440,€0,€250,€38,€0,€40,€950
September,€40,€55,€11,€20,€109,€0,€5,€240,€19,€400,€0,€330,€0,€0,€30,"€1,019"
October,€52,€38,€5,€20,€79,€7,€0,€201,€114,€450,€549,€0,€0,€0,€30,"€1,344"
November,€0,€51,€6,€20,€97,€15,€22,€211,€34,€400,€360,€140,€0,€0,€30,"€1,175"
December,€45,€43,€6,€20,€94,€36,€0,€244,€18,€450,€0,€0,€95,€0,€30,€837
,,,,,,,,,,,,,,,,
Total:,€437,€702,€131,€200,"€1,015",€180,€90,"€2,755",€550,"€5,085","€2,729","€1,648",€376,€45,€160,"€13,348"
Average:,€36,€59,€11,€17,€85,€15,€8,€230,€46,€424,€227,€137,€31,€4,€13,"€1,112"
