year,month,beer,food,bus/taxi,phone,market,others,house,clothes,rent/bill,trips,eletronics,others,english,medical,gym,total
2015,September,€95,€98,€46,€20,€37,€22,€0,€25,€0,€0,€0,€0,€0,€0,€0,€343
2015,October,€43,€42,€7,€20,€75,€5,€0,€28,€380,€0,€0,€0,€0,€0,€0,€600
2015,November,€45,€54,€8,€20,€41,€8,€0,€31,€200,€0,€0,€0,€0,€0,€0,€407
2015,December,€38,€63,€0,€20,€42,€5,€32,€243,€250,€0,€0,€0,€0,€0,€0,€693
2016,January,€38,€71,€6,€0,€53,€13,€0,€87,€170,€0,€0,€0,€0,€0,€0,€438
2016,February,€43,€80,€0,€20,€46,€0,€10,€47,€270,€202,€0,€0,€0,€0,€0,€718
2016,March,€82,€71,€0,€0,€54,€53,€0,€0,€295,€349,€470,€0,€0,€0,€0,"€1,374"
2016,April,€43,€40,€16,€0,€121,€0,€36,€96,€390,€70,€65,€0,€0,€0,€0,€877
2016,May,€20,€91,€9,€0,€96,€13,€3,€140,€400,€320,€0,€0,€0,€0,€0,"€1,092"
2016,June,€41,€61,€9,€0,€89,€15,€12,€37,€400,€0,€299,€0,€0,€0,€0,€963
2016,July,€39,€39,€12,€0,€99,€15,€2,€0,€400,€0,€20,€0,€380,€0,€0,"€1,006"
2016,August,€26,€78,€0,€0,€62,€42,€14,€65,€400,€8,€75,€25,€0,€0,€0,€795
2016,September,€50,€26,€18,€0,€51,€19,€5,€35,€400,"€1,623",€83,€168,€0,€0,€0,"€2,478"
2016,October,€40,€57,€0,€0,€57,€17,€14,€113,€450,€54,€25,€49,€0,€0,€0,€876
2016,November,€0,€28,€12,€0,€79,€15,€15,€120,€400,€676,€30,€70,€0,€0,€0,"€1,445"
2016,December,€6,€45,€9,€0,€99,€15,€0,€0,€455,€0,€0,€0,€390,€0,€0,"€1,019"
2017,January,€30,€66,€3,€0,€102,€31,€0,€0,€400,€0,€20,€20,€0,€45,€0,€717
2017,February,€34,€56,€21,€0,€56,€5,€18,€90,€460,€710,€48,€12,€0,€0,€0,"€1,510"
2017,March,€35,€76,€9,€20,€83,€0,€17,€95,€400,€0,€720,€0,€0,€0,€0,"€1,455"
2017,April,€43,€88,€35,€20,€80,€33,€3,€90,€440,€485,€40,€0,€0,€0,€0,"€1,357"
2017,May,€81,€33,€19,€20,€109,€5,€13,€0,€400,€0,€0,€165,€0,€0,€0,€845
2017,June,€63,€113,€16,€20,€74,€15,€4,€90,€445,€0,€100,€46,€0,€0,€0,€986
2017,July,€0,€37,€0,€20,€54,€17,€0,€0,€400,€625,€0,€0,€0,€0,€0,"€1,153"
2017,August,€14,€46,€0,€20,€78,€16,€8,€0,€440,€0,€250,€38,€0,€0,€40,€950
2017,September,€40,€55,€11,€20,€109,€0,€5,€19,€400,€0,€330,€0,€0,€0,€30,"€1,019"
2017,October,€52,€38,€5,€20,€79,€7,€0,€114,€450,€549,€0,€0,€0,€0,€30,"€1,344"
2017,November,€0,€51,€6,€20,€97,€15,€22,€34,€400,€360,€140,€0,€0,€0,€30,"€1,175"
2017,December,€45,€43,€6,€20,€94,€36,€0,€18,€450,€0,€0,€95,€0,€0,€30,€837
2018,January,€42,€65,€12,€20,€87,€34,€0,€22,€390,€12,€145,€0,€0,€70,€30,€929
2018,February,€56,€29,€20,€20,€60,€12,€0,€0,€450,€397,€0,€0,€0,€0,€30,"€1,074"
2018,March,€116,€4,€33,€20,€80,€62,€0,€36,€425,€501,€0,€120,€0,€0,€30,"€1,427"
2018,April,€76,€60,€13,€20,€68,€0,€0,€95,€460,€0,€0,€45,€0,€0,€30,€867
2018,May,€13,€65,€6,€20,€14,€0,€0,€30,€400,"€1,540",€0,€0,€0,€0,€30,"€2,118"
2018,June,€29,€44,€9,€20,€80,€15,€0,€72,€450,€774,€0,€25,€0,€10,€30,"€1,558"
2018,July,€33,€16,€3,€20,€114,€11,€0,€25,€400,€0,€45,€0,€0,€0,€30,€697
2018,August,€65,€89,€0,€20,€95,€7,€6,€26,€445,€0,€0,€30,€0,€19,€30,€832
2018,September,€38,€16,€0,€20,€126,€7,€0,€25,€400,€219,€0,€0,€0,€7,€30,€888
,,,,,,,,,,,,,,,,,
,,"€1,554","€2,034",€379,€480,"€2,840",€585,€239,"€1,948","€14,165","€9,474","€2,905",€908,€770,€151,€430,"€38,862"
